Time	Iteration	AverageReturn	StdReturn	MaxReturn	MinReturn	EpLenMean	EpLenStd	TimestepsThisBatch	TimestepsSoFar	loss_
260.20280957221985	0	25.5918367347	13.5442108536	82.0	9.0	25.5918367347	13.5442108536	5016	5016	22.2696
262.57032561302185	1	28.6628571429	15.8523740577	93.0	9.0	28.6628571429	15.8523740577	5016	10032	25.3819
264.9012944698334	2	30.186746988	17.1599861761	104.0	9.0	30.186746988	17.1599861761	5011	15043	26.8974
267.1612899303436	3	32.6233766234	18.1598522228	116.0	9.0	32.6233766234	18.1598522228	5024	20067	28.7077
269.44133400917053	4	30.3253012048	19.6555326119	114.0	9.0	30.3253012048	19.6555326119	5034	25101	28.776
271.65392994880676	5	35.8357142857	22.9809270963	140.0	10.0	35.8357142857	22.9809270963	5017	30118	33.6101
273.96891045570374	6	43.1355932203	28.9681049778	150.0	10.0	43.1355932203	28.9681049778	5090	35208	40.9695
276.28844809532166	7	39.8968253968	24.58862473	125.0	12.0	39.8968253968	24.58862473	5027	40235	36.3452
278.6071283817291	8	40.8455284553	25.2879458158	193.0	12.0	40.8455284553	25.2879458158	5024	45259	37.1186
280.9519855976105	9	44.4424778761	25.5037523018	119.0	10.0	44.4424778761	25.5037523018	5022	50281	38.3959
539.7932617664337	10	50.5757575758	32.6128471027	174.0	11.0	50.5757575758	32.6128471027	5007	55288	46.2905
542.8099541664124	11	50.6161616162	35.6443450601	187.0	9.0	50.6161616162	35.6443450601	5011	60299	48.9425
545.4631907939911	12	52.8315789474	35.7634487421	200.0	13.0	52.8315789474	35.7634487421	5019	65318	49.2511
547.9824459552765	13	58.8488372093	35.1962991718	200.0	15.0	58.8488372093	35.1962991718	5061	70379	51.1688
550.4730823040009	14	54.6559139785	34.4069556058	200.0	10.0	54.6559139785	34.4069556058	5083	75462	48.5237
552.9979128837585	15	60.3614457831	39.3897969522	200.0	12.0	60.3614457831	39.3897969522	5010	80472	54.5296
556.1264963150024	16	65.9868421053	36.7332107804	200.0	12.0	65.9868421053	36.7332107804	5015	85487	54.6673
558.5272691249847	17	75.0147058824	41.9406066911	200.0	12.0	75.0147058824	41.9406066911	5101	90588	61.9575
560.7541553974152	18	65.1688311688	36.7223356773	176.0	12.0	65.1688311688	36.7223356773	5018	95606	53.9966
563.0608179569244	19	65.3246753247	41.3934060746	200.0	10.0	65.3246753247	41.3934060746	5030	100636	57.4635
