Time	Iteration	AverageReturn	StdReturn	MaxReturn	MinReturn	EpLenMean	EpLenStd	TimestepsThisBatch	TimestepsSoFar
52.49080419540405	0	20.5102040816	12.4787532884	63.0	9.0	20.5102040816	12.4787532884	1005	1005
53.136568546295166	1	22.1063829787	16.1459224054	117.0	8.0	22.1063829787	16.1459224054	1039	2044
53.76607537269592	2	23.3023255814	13.2288178799	76.0	9.0	23.3023255814	13.2288178799	1002	3046
54.25769853591919	3	23.9523809524	12.5260725821	61.0	8.0	23.9523809524	12.5260725821	1006	4052
54.83821153640747	4	26.2564102564	16.7343006392	81.0	10.0	26.2564102564	16.7343006392	1024	5076
55.46694374084473	5	21.8333333333	12.7758452645	69.0	9.0	21.8333333333	12.7758452645	1048	6124
56.102004289627075	6	23.9047619048	10.4672039379	57.0	10.0	23.9047619048	10.4672039379	1004	7128
56.677335023880005	7	26.2820512821	11.7275671684	58.0	10.0	26.2820512821	11.7275671684	1025	8153
57.197803020477295	8	23.4418604651	13.6045517786	61.0	10.0	23.4418604651	13.6045517786	1008	9161
57.76347732543945	9	24.6341463415	12.9233313261	71.0	9.0	24.6341463415	12.9233313261	1010	10171
109.74859428405762	10	25.7948717949	17.4549669475	98.0	9.0	25.7948717949	17.4549669475	1006	11177
110.42740225791931	11	25.425	17.3001264446	100.0	9.0	25.425	17.3001264446	1017	12194
110.98306441307068	12	24.5714285714	12.7000990944	72.0	10.0	24.5714285714	12.7000990944	1032	13226
111.65069484710693	13	23.1363636364	11.0671317404	57.0	10.0	23.1363636364	11.0671317404	1018	14244
112.29966688156128	14	22.9777777778	12.8504023091	68.0	9.0	22.9777777778	12.8504023091	1034	15278
113.16354441642761	15	24.1818181818	14.8205519577	84.0	9.0	24.1818181818	14.8205519577	1064	16342
113.9030556678772	16	31.5	18.9637812685	88.0	12.0	31.5	18.9637812685	1008	17350
114.46597504615784	17	20.24	8.90294333353	50.0	10.0	20.24	8.90294333353	1012	18362
115.06414794921875	18	22.8181818182	10.198646807	55.0	10.0	22.8181818182	10.198646807	1004	19366
115.63623690605164	19	22.3333333333	13.43792312	63.0	9.0	22.3333333333	13.43792312	1005	20371
168.62813425064087	20	23.5813953488	10.4686299011	56.0	10.0	23.5813953488	10.4686299011	1014	21385
169.40548038482666	21	25.3	12.8980618699	62.0	10.0	25.3	12.8980618699	1012	22397
170.25178599357605	22	22.9777777778	11.7217535451	58.0	9.0	22.9777777778	11.7217535451	1034	23431
171.00690007209778	23	23.8604651163	14.1332222751	70.0	9.0	23.8604651163	14.1332222751	1026	24457
171.77726340293884	24	25.7435897436	16.5246016263	77.0	10.0	25.7435897436	16.5246016263	1004	25461
172.57448267936707	25	22.7173913043	9.21874989988	54.0	11.0	22.7173913043	9.21874989988	1045	26506
173.85869574546814	26	22.5333333333	10.9109527031	62.0	10.0	22.5333333333	10.9109527031	1014	27520
175.06105136871338	27	24.6829268293	11.8103696156	60.0	10.0	24.6829268293	11.8103696156	1012	28532
176.24394750595093	28	24.4285714286	13.0039240545	67.0	8.0	24.4285714286	13.0039240545	1026	29558
177.4532630443573	29	21.6170212766	9.74254366604	54.0	11.0	21.6170212766	9.74254366604	1016	30574
230.1848475933075	30	21.3617021277	8.38799936057	54.0	10.0	21.3617021277	8.38799936057	1004	31578
230.95038056373596	31	26.1794871795	13.5284539547	66.0	9.0	26.1794871795	13.5284539547	1021	32599
231.5514121055603	32	21.3265306122	12.3889149845	65.0	9.0	21.3265306122	12.3889149845	1045	33644
232.21225786209106	33	25.6923076923	16.5066479943	94.0	11.0	25.6923076923	16.5066479943	1002	34646
233.29214334487915	34	23.2954545455	10.8932413272	50.0	9.0	23.2954545455	10.8932413272	1025	35671
234.05172395706177	35	22.0	14.8118636352	86.0	9.0	22.0	14.8118636352	1012	36683
234.94775128364563	36	20.5714285714	9.3873558034	52.0	9.0	20.5714285714	9.3873558034	1008	37691
235.48348450660706	37	20.693877551	9.19894421988	48.0	9.0	20.693877551	9.19894421988	1014	38705
236.11315059661865	38	21.7083333333	11.1111024306	53.0	9.0	21.7083333333	11.1111024306	1042	39747
236.6594123840332	39	22.5777777778	14.7324115683	66.0	8.0	22.5777777778	14.7324115683	1016	40763
